1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2022
10.389,9.222,11.833,12.778,11.222,11.556,13.611,17.222,10.778,10.944,16.611,14.0
16.167,12.278,13.0,13.667,16.111,12.556,11.333,13.833,14.444,13.111,15.778,14.944
17.278,12.444,18.111,15.444,18.833,18.667,16.833,17.833,19.444,21.056,19.111,19.333
20.222,19.5,21.333,18.222,22.0,23.5,19.444,21.444,23.5,23.778,26.056,25.056
27.0,27.667,26.722,26.833,27.611,28.333,25.889,29.222,26.333,28.389,29.444,29.722
33.389,32.667,34.222,31.667,33.333,32.778,31.389,33.889,34.667,35.889,35.278,34.556
33.5,34.667,35.556,34.222,35.056,34.0,35.278,37.167,34.333,34.333,35.667,35.167
30.722,33.889,33.556,32.333,32.333,32.722,34.611,34.056,33.667,33.056,34.278,32.722
30.611,30.833,29.778,31.111,29.833,30.889,30.778,32.0,31.167,29.778,32.722,31.722
25.278,25.944,26.167,23.333,27.222,23.833,23.944,28.0,26.056,23.333,21.778,23.889
16.722,17.5,15.611,16.444,17.667,15.833,18.278,16.222,19.611,17.778,17.611,15.444
10.778,14.222,9.278,12.833,12.222,13.056,13.278,13.5,12.222,12.278,12.611,12.611
7.611,8.167,3.167,8.222,6.889,9.0,11.333,8.5,9.611,10.889,7.833,10.5
9.222,10.889,4.667,11.778,11.667,11.056,13.444,9.278,12.389,11.833,13.222,12.389
16.278,18.556,14.667,16.056,17.056,15.222,15.167,17.111,17.611,14.167,18.611,18.389
22.167,19.556,24.056,18.167,23.0,19.222,22.111,23.556,21.222,21.278,19.667,21.778
25.5,25.833,26.222,24.833,27.889,25.222,29.0,26.556,26.222,25.333,30.167,27.389
31.0,30.556,30.889,29.5,32.722,30.111,32.556,28.278,31.0,30.833,32.778,31.778
31.722,32.444,35.111,33.056,32.333,34.722,35.056,32.333,33.278,31.722,33.611,35.278
32.056,32.111,33.389,35.222,33.444,33.5,33.389,33.0,30.722,31.556,31.5,31.667
27.889,28.111,29.722,30.167,29.333,28.167,31.778,27.444,27.111,31.056,28.778,30.389
23.111,24.944,23.889,24.056,20.833,21.333,24.333,24.0,22.556,22.111,22.444,24.222
14.111,17.944,17.722,16.389,17.444,13.667,17.5,18.167,15.778,14.444,13.278,15.889
9.778,10.722,11.167,3.167,12.333,11.444,11.778,11.556,11.222,9.722,11.5,11.111
11.278,9.611,11.5,11.889,11.222,9.778,11.889,15.611,9.833,11.778,14.778,14.333
15.278,12.444,12.889,12.889,16.556,11.444,10.556,13.444,13.833,14.222,15.0,16.167
