state,city,common_name,count
California,Rancho Cucamonga,Carob,12
California,Rancho Cucamonga,Carrotwood,1069
California,Rancho Cucamonga,Chinese pistache,3217
California,Rancho Cucamonga,Crape myrtle,12877
California,Rancho Cucamonga,Eucalyptus,5595
California,Rancho Cucamonga,Jacaranda,734
California,Rancho Cucamonga,Pine,6104
California,Sacramento,Camphor tree,773
California,Sacramento,Canary island date palm,965
California,Sacramento,Chinese elm,4047
California,Sacramento,Chinese pistache,4580
California,Sacramento,Evergreen pear,346
California,Sacramento,Italian cypress,1267
California,Sacramento,London planetree,14111
California,Sacramento,Mexican fan palm,1535
California,Sacramento,Modesto ash,2275
California,Sacramento,Pine,1461
California,Sacramento,Southern magnolia,1151
California,San Diego,Bottle tree,1067
California,San Diego,Brisbane box,7591
California,San Diego,California sycamore,7330
California,San Diego,Camphor tree,2267
California,San Diego,Canary island date palm,1642
California,San Diego,Canary island pine,469
California,San Diego,Carob,1048
California,San Diego,Carrot wood,13608
California,San Diego,Chinese elm,1349
California,San Diego,Chinese pistache,115
California,San Diego,Crape myrtle,2207
California,San Diego,Eucalyptus,12008
California,San Diego,Evergreen pear,2210
California,San Diego,Indian laurel fig,1333
California,San Diego,Italian cypress,5501
California,San Diego,Jacaranda,9831
California,San Diego,London plane,1907
California,San Diego,Mexican fan palm,11586
California,San Diego,Pine,12677
California,San Diego,Queen palm,22624
California,San Diego,Victorian box,791
California,San Francisco,Bottle tree,14
California,San Francisco,Brisbane box,8236
California,San Francisco,California sycamore,73
California,San Francisco,Camphor tree,141
California,San Francisco,Canary island date palm,884
California,San Francisco,Canary island pine,350
California,San Francisco,Carob,855
California,San Francisco,Carrotwood,246
California,San Francisco,Chinese elm,2326
California,San Francisco,Chinese pistache,412
California,San Francisco,Crape myrtle,99
California,San Francisco,Eucalyptus,549
California,San Francisco,Evergreen pear,1910
California,San Francisco,Italian cypress,174
California,San Francisco,Jacaranda,1118
California,San Francisco,Mexican fan palm,967
California,San Francisco,Modesto ash,3
California,San Francisco,Ornamental pear,2978
California,San Francisco,Pine,253
California,San Francisco,Queen palm,978
California,San Francisco,Southern magnolia,6219
California,San Francisco,Sycamore london plane,11383
California,San Francisco,Victorian box,6922
California,Santa Rosa,Pine,24
California,Stockton,American sweetgum,4110
California,Stockton,Bottle tree,60
California,Stockton,Brisbane box,1
California,Stockton,Camphor tree,1670
California,Stockton,Canary island pine,779
California,Stockton,Carob,169
California,Stockton,Carrotwood,1
California,Stockton,Chinese elm,353
California,Stockton,Chinese pistache,11392
California,Stockton,Crape myrtle,7368
California,Stockton,Eucalyptus,50
California,Stockton,Evergreen pear,1023
California,Stockton,Italian cypress,1089
California,Stockton,Jacaranda,8
California,Stockton,Mexican fan palm,780
California,Stockton,Modesto ash,4435
California,Stockton,Ornamental pear,5296
California,Stockton,Pine,194
California,Stockton,Queen palm,743
California,Stockton,Southern magnolia,3762
Colorado,Aurora,American elm,612
Colorado,Aurora,American linden,1562
Colorado,Aurora,Austrian pine,1517
Colorado,Aurora,Blue spruce,1205
Colorado,Aurora,Bur oak,296
Colorado,Aurora,English oak,601
Colorado,Aurora,Green ash,5465
Colorado,Aurora,Hackberry,2463
Colorado,Aurora,Honeylocust,8388
Colorado,Aurora,Linden,6107
Colorado,Aurora,Littleleaf linden,117
Colorado,Aurora,Northern red oak,536
Colorado,Aurora,Norway maple,4614
Colorado,Aurora,Plains cottonwood,1068
Colorado,Aurora,Ponderosa pine,805
Colorado,Aurora,Rocky mountain juniper,248
Colorado,Aurora,Siberian elm,1324
Colorado,Aurora,Silver maple,3433
Colorado,Aurora,Swamp white oak,317
Colorado,Aurora,Western catalpa,254
Colorado,Aurora,White ash,763
Colorado,Colorado Springs,American elm,679
Colorado,Colorado Springs,American linden,48
Colorado,Colorado Springs,Austrian pine,333
Colorado,Colorado Springs,Blue spruce,886
Colorado,Colorado Springs,Bur oak,202
Colorado,Colorado Springs,English oak,50
Colorado,Colorado Springs,Freeman maple,30
Colorado,Colorado Springs,Green ash,1840
Colorado,Colorado Springs,Hackberry,189
Colorado,Colorado Springs,Honeylocust,553
Colorado,Colorado Springs,Kentucky coffeetree,71
Colorado,Colorado Springs,Linden,118
Colorado,Colorado Springs,Littleleaf linden,193
Colorado,Colorado Springs,Northern hackberry,130
Colorado,Colorado Springs,Northern red oak,355
Colorado,Colorado Springs,Norway maple,488
Colorado,Colorado Springs,Plains cottonwood,56
Colorado,Colorado Springs,Ponderosa pine,1924
Colorado,Colorado Springs,Quaking aspen,41
Colorado,Colorado Springs,Red maple,33
Colorado,Colorado Springs,Rocky mountain juniper,81
Colorado,Colorado Springs,Siberian elm,838
Colorado,Colorado Springs,Silver maple,952
Colorado,Colorado Springs,Swamp white oak,174
Colorado,Colorado Springs,White ash,163
Colorado,Denver,American elm,4275
Colorado,Denver,American linden,5328
Colorado,Denver,Austrian pine,7302
Colorado,Denver,Blue spruce,7592
Colorado,Denver,Bur oak,5102
Colorado,Denver,Eastern cottonwood,2593
Colorado,Denver,English oak,2613
Colorado,Denver,Flowering crabapple,9240
Colorado,Denver,Flowering pear,7103
Colorado,Denver,Freeman maple,9780
Colorado,Denver,Green ash,25736
Colorado,Denver,Honey locust,23565
Colorado,Denver,Kentucky coffeetree,3540
Colorado,Denver,Littleleaf linden,12961
Colorado,Denver,Northern hackberry,9060
Colorado,Denver,Northern red oak,4846
Colorado,Denver,Norway maple,7945
Colorado,Denver,Plains cottonwood,2657
Colorado,Denver,Ponderosa pine,7063
Colorado,Denver,Quaking aspen,3483
Colorado,Denver,Red maple,3084
Colorado,Denver,Rocky mountain juniper,3010
Colorado,Denver,Siberian elm,10671
Colorado,Denver,Silver maple,12735
Colorado,Denver,Swamp white oak,4830
Colorado,Denver,Western catalpa,2962
Colorado,Denver,White ash,11922
District of Columbia,Washington DC,(see notes),7005
District of Columbia,Washington DC,American elm,5797
District of Columbia,Washington DC,Cherry,2212
District of Columbia,Washington DC,Cherry (snowgoose),1812
District of Columbia,Washington DC,Chinese elm,3737
District of Columbia,Washington DC,Chinese pistachio,1744
District of Columbia,Washington DC,Chokecherry,1928
District of Columbia,Washington DC,Crape myrtle,4350
District of Columbia,Washington DC,Eastern redbud,3255
District of Columbia,Washington DC,Ginkgo (male),2661
District of Columbia,Washington DC,Hackberry,2119
District of Columbia,Washington DC,Japanese zelkova,5448
District of Columbia,Washington DC,Kwanzan cherry,2038
District of Columbia,Washington DC,Lilac,1496
District of Columbia,Washington DC,Littleleaf linden,2583
District of Columbia,Washington DC,London plane tree,4948
District of Columbia,Washington DC,Norway maple,3376
District of Columbia,Washington DC,Overcup oak,1720
District of Columbia,Washington DC,Pin oak,8815
District of Columbia,Washington DC,Red maple,12543
District of Columbia,Washington DC,Red oak,5864
District of Columbia,Washington DC,Redbud,1974
District of Columbia,Washington DC,Scarlet oak,2898
District of Columbia,Washington DC,Sugar maple,5380
District of Columbia,Washington DC,Swamp white oak,3355
District of Columbia,Washington DC,Sweetgum,1633
District of Columbia,Washington DC,Tupelo,2656
District of Columbia,Washington DC,Willow oak,10006
