1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2022
-3.111,-3.333,0.5,-1.0,-2.0,1.278,-0.444,1.444,-2.167,-3.556,0.667,-1.0
2.722,0.556,0.944,1.0,0.833,1.333,-0.278,1.167,0.056,-1.778,0.611,-1.444
2.722,0.889,4.833,3.222,1.5,3.389,2.056,2.889,2.5,4.278,3.444,2.722
4.667,3.889,5.333,3.278,5.833,6.056,3.556,4.778,5.389,6.667,8.278,7.0
9.222,10.167,8.833,8.722,9.556,10.889,8.5,11.111,8.778,10.889,11.111,11.056
14.444,14.444,15.0,13.167,15.833,14.056,12.833,15.389,15.667,16.889,16.5,17.222
18.0,18.0,18.389,18.333,19.278,17.5,19.333,20.278,19.5,20.167,20.167,20.333
15.889,17.333,17.0,17.944,18.167,17.833,19.222,19.333,18.944,18.556,19.222,19.056
12.944,12.333,14.0,16.444,12.778,13.278,15.389,15.5,15.0,15.056,16.167,16.722
7.667,6.889,10.0,9.5,10.722,8.389,7.722,11.278,8.278,6.444,9.278,8.944
2.167,1.722,3.556,2.722,2.389,1.0,2.389,2.389,4.0,3.611,1.667,0.111
-4.278,-2.0,-3.0,0.611,-2.222,-2.111,-1.389,-1.278,-0.667,-1.722,-0.667,-0.444
-1.611,-1.667,-6.0,-1.389,-3.778,-0.778,2.333,-3.222,-1.889,0.333,-3.722,-3.0
-2.889,-0.667,-5.0,1.167,-1.111,-0.778,2.667,-0.333,0.5,0.778,2.222,-1.056
3.556,7.611,2.222,3.944,3.444,3.667,4.389,4.167,4.5,2.056,5.667,3.944
9.778,9.0,10.222,6.722,8.056,7.778,8.722,9.5,8.556,8.167,6.111,9.222
13.5,12.389,13.889,12.889,12.333,13.667,16.222,15.278,13.889,13.722,17.667,15.833
18.778,18.333,18.444,17.167,16.833,19.167,20.667,17.389,19.722,19.278,20.667,19.5
19.722,20.667,21.222,20.833,20.556,22.222,22.667,20.944,20.611,19.389,21.667,22.556
20.167,18.722,19.611,21.111,20.667,21.278,20.889,21.167,20.0,20.0,20.444,21.0
13.5,18.111,17.722,15.278,16.444,14.778,19.167,15.056,16.278,17.111,19.0,16.111
8.5,12.0,7.111,10.389,7.833,8.278,11.333,10.222,8.611,10.722,11.556,8.5
3.5,7.0,5.667,4.722,4.111,1.778,6.611,6.944,3.056,2.778,2.056,3.944
-1.556,-0.444,-1.0,-5.389,-0.389,0.222,1.444,-0.056,-1.167,-0.778,2.0,1.444
-0.5,-0.5,3.444,1.722,0.722,0.556,2.667,4.333,0.333,-0.556,3.944,1.889
4.778,2.889,3.222,3.611,1.778,1.944,2.333,1.833,1.5,0.611,1.222,1.556
3.667,1.889,6.0,4.722,3.278,5.778,3.667,4.278,3.056,5.0,3.444,4.611
4.722,5.0,5.111,4.056,6.111,6.167,4.444,4.111,4.611,7.056,6.833,6.056
8.333,10.0,8.389,8.833,8.111,9.778,6.889,9.222,9.056,10.056,10.056,9.111
12.778,13.333,12.389,12.0,12.389,12.222,11.389,13.556,13.056,14.222,13.5,14.222
15.889,15.333,15.389,14.056,17.0,14.389,16.222,17.5,16.5,17.444,18.389,17.278
14.167,14.667,15.056,15.889,15.389,14.722,16.5,16.0,16.444,15.444,16.556,17.833
12.222,11.722,11.889,14.333,12.333,12.222,13.389,14.278,13.5,13.111,13.389,15.556
8.0,7.5,9.444,9.611,10.056,9.278,7.0,10.333,8.667,6.944,9.056,10.222
4.444,4.0,2.222,4.667,4.5,2.556,3.722,2.722,6.056,4.556,4.833,1.778
-0.778,2.222,-1.667,3.111,0.167,0.444,-0.5,1.778,0.222,0.0,2.056,1.278
