city,common_name,count,mean_h
Albuquerque,Arizona cypress,8,86.532155
Albuquerque,Arizona sycamore,28,77.68560428571428
Albuquerque,Ash,105,73.86576914285713
Albuquerque,Austrian pine,136,72.05786088235294
Albuquerque,Basswood,2,60.695539999999994
Albuquerque,Bigtooth maple,14,40.77615428571429
Albuquerque,Black locust,11,72.77499636363636
Albuquerque,Blue atlas cedar,3,65.6168
Albuquerque,Blue spruce,19,65.6168
Albuquerque,Boxelder,27,73.27209333333333
Albuquerque,Bradford pear callery pear,13,53.50292923076923
Albuquerque,Bristlecone pine,3,16.4042
Albuquerque,Broadleaf deciduous large,3,99.51881333333334
Albuquerque,Broadleaf deciduous small,11,36.98401454545455
Albuquerque,Bur oak,37,69.25232540540541
Albuquerque,Catalpa,12,46.75197
Albuquerque,Cedar elm,4,44.291340000000005
Albuquerque,Cherry plum,7,29.527559999999998
Albuquerque,Chinese elm,75,64.8293984
Albuquerque,Chinese pistache,51,64.26586588235294
Albuquerque,Chinkapin oak,12,65.6168
Albuquerque,Chitalpa,7,54.83689714285714
Albuquerque,Common chokecherry,25,45.931760000000004
Albuquerque,Cottonwood,26,104.35594923076923
Albuquerque,Crabapple,126,38.82327333333333
Albuquerque,Crape myrtle,1,39.37008
Albuquerque,Dawn redwood,6,26.24672
Albuquerque,Deodar cedar,30,51.94663333333333
Albuquerque,Desert willow,59,58.72147525423728
Albuquerque,Eastern red cedar,7,103.58080571428572
Albuquerque,Eastern redbud,7,43.11961142857143
Albuquerque,Elm,27,59.05512
Albuquerque,Elm hybrid,67,56.21498985074627
Albuquerque,English oak,5,62.992128
Albuquerque,Ginkgo,2,49.2126
Albuquerque,Globe willow,4,85.30184
Albuquerque,Golden rain tree,45,56.28463288888889
Albuquerque,Green ash,18,61.60688444444444
Albuquerque,Greenstone,8,56.184385
Albuquerque,Hardy rubber tree,4,35.26903
Albuquerque,Honeylocust,150,69.66316933333333
Albuquerque,Italian stone pine,2,90.2231
Albuquerque,Japanese black pine,2,44.29134
Albuquerque,Japanese pagoda tree,33,89.67629333333333
Albuquerque,Japanese zelkova,2,16.4042
Albuquerque,Juniper,13,82.52574461538461
Albuquerque,Kentucky coffeetree,9,40.099155555555555
Albuquerque,Lanceleaf cottonwood,1,No info on height
Albuquerque,Leyland false cypress,12,91.59011666666667
Albuquerque,Limber pine,6,58.50831333333333
Albuquerque,Littleleaf linden,27,63.06503555555555
Albuquerque,Locust,11,41.756145454545454
Albuquerque,London plane,120,72.06911866666665
Albuquerque,Maple,4,70.53806
Albuquerque,Mimosa,7,45.93176
Albuquerque,Mountain ash,2,68.89764
Albuquerque,Netleaf hackberry,4,106.6273
Albuquerque,New mexico locust,10,59.05512
Albuquerque,New mexico olive,3,49.2126
Albuquerque,Northern catalpa,1,114.8294
Albuquerque,Northern hackberry,31,75.6709870967742
Albuquerque,Northern red oak,1,No info on height
Albuquerque,Norway maple,1,114.8294
Albuquerque,Oak,6,44.29134
Albuquerque,Oklahoma redbud,29,42.42465517241379
Albuquerque,One seed juniper,1,108.26772
Albuquerque,Osage orange,5,91.86352000000001
Albuquerque,Pear,60,62.664044
Albuquerque,Pine,4,43.47113
Albuquerque,Pinyon pine,12,56.321086666666666
Albuquerque,Plains cottonwood,5,93.175856
Albuquerque,Plum,20,56.102364
Albuquerque,Ponderosa pine,21,73.74078476190476
Albuquerque,Quaking aspen,1,59.05512
Albuquerque,Raywood ash,60,58.891078
Albuquerque,Rocky mountain juniper,4,85.30184
Albuquerque,Russian olive,1,No info on height
Albuquerque,Scotch pine,7,83.42707428571428
Albuquerque,Shumard oak,15,58.398952
Albuquerque,Siberian elm,45,29.38174488888889
Albuquerque,Spruce,1,118.11024
Albuquerque,Texas red oak,67,59.29995880597015
Albuquerque,Tree of heaven,10,83.005252
Albuquerque,Velvet ash arizona ash,9,56.867893333333335
Albuquerque,Vitex,11,25.65020363636364
Albuquerque,White ash,30,70.97550533333333
Anaheim,Abyssinian banana,4,No info on height
Anaheim,Acacia,34,No info on height
Anaheim,Acer paxii,136,No info on height
Anaheim,Afghan pine,18,No info on height
Anaheim,African sumac,197,No info on height
Anaheim,African tulip tree,3,No info on height
Anaheim,Alamo mexican sycamore,129,No info on height
Anaheim,Albizia,21,No info on height
Anaheim,Aleppo pine,486,No info on height
Anaheim,Alii fig,2,No info on height
Anaheim,Almond,14,No info on height
Anaheim,American arborvitae,4,No info on height
Anaheim,American elm,12,No info on height
Anaheim,American linden,7,No info on height
Anaheim,American sweetgum,1433,No info on height
Anaheim,American sycamore,10,No info on height
Anaheim,Apricot,7,No info on height
Anaheim,Arapaho crape myrtle,20,No info on height
Anaheim,Areca palm,3,No info on height
Anaheim,Aristocrat pear,42,No info on height
Anaheim,Arizona ash,40,No info on height
Anaheim,Ash,18,No info on height
Anaheim,Ash gum,1,No info on height
Anaheim,Atlas cedar,8,No info on height
Anaheim,Australian flame tree,86,No info on height
Anaheim,Australian tea tree,1,No info on height
Anaheim,Australian willow,815,No info on height
Anaheim,Autumn glow zelkova,23,No info on height
Anaheim,Avocado,60,No info on height
Anaheim,Birch,2,No info on height
Anaheim,Black acacia,4,No info on height
Anaheim,Black cottonwood,2,No info on height
Anaheim,Black locust,72,No info on height
Anaheim,Black walnut,2,No info on height
Anaheim,Blanchard magnolia,73,No info on height
Anaheim,Bloodgood plane,20,No info on height
Anaheim,Blue gum,389,No info on height
Anaheim,Blue leaf wattle,13,No info on height
Anaheim,Bottle tree,416,No info on height
Anaheim,Bottlebrush,28,No info on height
Anaheim,Bougainvillea,1,No info on height
Anaheim,Box elder,2,No info on height
Anaheim,Bradford pear,24,No info on height
Anaheim,Brazilian butterfly tree,4,No info on height
Anaheim,Brazilian pepper,323,No info on height
Anaheim,Brisbane box,1609,No info on height
Anaheim,Bronze loquat,67,No info on height
Anaheim,Brush cherry,66,No info on height
Anaheim,Bunya bunya,3,No info on height
